문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,1.0,0.9739,"[(1, 0.9738773)]"
1,1.0,0.751,"[(1, 0.75099057), (3, 0.16008113), (4, 0.07049504)]"
2,1.0,0.9878,"[(1, 0.98783314)]"
3,1.0,0.8312,"[(1, 0.831235), (3, 0.15956149)]"
4,1.0,0.993,"[(1, 0.9930476)]"
5,1.0,0.9596,"[(0, 0.010052391), (1, 0.95955163), (2, 0.010159808), (3, 0.010186886), (4, 0.0100492975)]"
6,1.0,0.9633,"[(1, 0.96328014)]"
7,1.0,0.7968,"[(0, 0.051009107), (1, 0.79682606), (2, 0.051240288), (3, 0.050381903), (4, 0.050542615)]"
8,1.0,0.9816,"[(1, 0.9816122)]"
9,1.0,0.9798,"[(1, 0.9797907)]"
10,1.0,0.9869,"[(1, 0.98687375)]"
11,1.0,0.9715,"[(1, 0.97154313), (4, 0.021846011)]"
12,1.0,0.9919,"[(1, 0.99189204)]"
13,1.0,0.9268,"[(1, 0.92680067), (3, 0.061235096)]"
14,1.0,0.9888,"[(1, 0.9887604)]"
15,1.0,0.9731,"[(1, 0.9731012)]"
16,1.0,0.9781,"[(1, 0.97810745)]"
17,1.0,0.9881,"[(1, 0.9881176)]"
18,1.0,0.9614,"[(1, 0.9614038)]"
19,1.0,0.9855,"[(1, 0.98554975)]"
20,1.0,0.9844,"[(1, 0.9843575)]"
21,1.0,0.9595,"[(0, 0.0101084765), (1, 0.95948666), (2, 0.010094321), (3, 0.010261709), (4, 0.010048839)]"
22,1.0,0.9491,"[(1, 0.949115), (3, 0.043204524)]"
23,1.0,0.9947,"[(1, 0.99470043)]"
24,1.0,0.9739,"[(1, 0.97386223)]"
25,1.0,0.8792,"[(0, 0.010471078), (1, 0.87923485), (2, 0.010137115), (3, 0.010250531), (4, 0.0899064)]"
26,1.0,0.9881,"[(1, 0.98807716)]"
27,1.0,0.9807,"[(1, 0.98072696)]"
28,1.0,0.8042,"[(0, 0.17039795), (1, 0.8042486)]"
29,1.0,0.9847,"[(1, 0.9846775)]"
30,1.0,0.9894,"[(1, 0.9894334)]"
31,1.0,0.8129,"[(0, 0.1491303), (1, 0.81291014), (2, 0.012626235), (3, 0.012635757), (4, 0.0126975905)]"
32,1.0,0.9594,"[(0, 0.010105502), (1, 0.95941603), (2, 0.010165545), (3, 0.010248066), (4, 0.01006486)]"
33,1.0,0.9549,"[(0, 0.011170185), (1, 0.95489323), (2, 0.011201322), (3, 0.011321464), (4, 0.011413832)]"
34,1.0,0.8244,"[(0, 0.13957487), (1, 0.824389), (2, 0.0120585775), (3, 0.012071161), (4, 0.0119064115)]"
35,1.0,0.9917,"[(1, 0.9917139)]"
36,1.0,0.9915,"[(1, 0.99154115)]"
37,1.0,0.9857,"[(1, 0.98571277)]"
